Date,Squad,Home_Away,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event
2021-11-20,Newcastle Utd,Away,1,9,Joelinton,Blocked,21,Right Foot,,Allan Saint-Maximin,Pass (Live),Callum Wilson,Pass (Live)
2021-11-20,Newcastle Utd,Away,1,10,Jamaal Lascelles,Goal,6,Head,,Matt Ritchie,Pass (Dead),Joelinton,Shot
2021-11-20,Newcastle Utd,Away,1,15,Allan Saint-Maximin,Off Target,12,Head,,Jacob Murphy,Pass (Live),Fabian Schär,Pass (Live)
2021-11-20,Newcastle Utd,Away,1,21,Allan Saint-Maximin,Saved,18,Right Foot,,,,,
2021-11-20,Newcastle Utd,Away,1,28,Jonjo Shelvey,Blocked,26,Right Foot,Volley,,,,
2021-11-20,Newcastle Utd,Away,1,30,Callum Wilson,Saved,20,Right Foot,,Joe Willock,Pass (Live),Joe Willock,Dribble
2021-11-20,Newcastle Utd,Away,1,34,Jacob Murphy,Blocked,21,Left Foot,,Allan Saint-Maximin,Pass (Live),Joe Willock,Pass (Live)
2021-11-20,Newcastle Utd,Away,1,37,Callum Wilson,Wayward,11,Head,,Jacob Murphy,Pass (Live),Jonjo Shelvey,Pass (Live)
2021-11-20,Newcastle Utd,Away,1,38,Fabian Schär,Blocked,28,Right Foot,,Jonjo Shelvey,Pass (Live),Allan Saint-Maximin,Pass (Live)
2021-11-20,Newcastle Utd,Away,1,39,Allan Saint-Maximin,Blocked,23,Right Foot,,Jonjo Shelvey,Pass (Live),Joe Willock,Pass (Live)
2021-11-20,Newcastle Utd,Away,1,39,Joelinton,Goal,12,Left Foot,,Allan Saint-Maximin,Shot,,
2021-11-20,Newcastle Utd,Away,1,43,Callum Wilson,Blocked,3,Left Foot,Half volley,,,,
